method,noise_level,noise_amp,noise_type,test_case,classifier,difficulty,precision,recall,f1,accuracy,confusion_matrix,n_classes,clean_tp,clean_fp,clean_fn,clean_tn,clean_precision,clean_recall,clean_f1,method_base,test_case_base,precision_base,recall_base,f1_base,accuracy_base,confusion_matrix_base,n_classes_base,clean_tp_base,clean_fp_base,clean_fn_base,clean_tn_base,clean_precision_base,clean_recall_base,clean_f1_base,f1_delta,precision_delta
baseline,NA,0.1,attributes,RandomForestClassifier_baseline_attributes_NoNoise,RandomForestClassifier,0,0.9907074646715194,0.9906972543352601,0.9906922346296396,0.9906972543352601,"[[1563    0    6    0    0    1    2]
 [   0 1698    0    0    0    0    0]
 [  17    3 1578    0    9    0    1]
 [   0    0    0 1493    2    3   11]
 [   1    0    2    0 1597    0    5]
 [   0    0    0    7    0 1603    4]
 [   2    0    1   18    2    6 1437]]",7,,,,,,,,baseline,RandomForestClassifier_baseline_attributes_NoNoise,0.9907074646715194,0.9906972543352601,0.9906922346296396,0.9906972543352601,"[[1563    0    6    0    0    1    2]
 [   0 1698    0    0    0    0    0]
 [  17    3 1578    0    9    0    1]
 [   0    0    0 1493    2    3   11]
 [   1    0    2    0 1597    0    5]
 [   0    0    0    7    0 1603    4]
 [   2    0    1   18    2    6 1437]]",7,,,,,,,,0.0,0.0
baseline,NA,0.1,attributes,RandomForestClassifier_baseline_attributes_NoNoise,RandomForestClassifier,1,0.4947402715875622,0.4931972789115646,0.4922962186805225,0.4931972789115646,"[[42  1 12  0  5  2  4]
 [ 2  0  0  0  0  0  0]
 [12  0 20  0  6  0  2]
 [ 0  0  0 30  0  5 25]
 [ 0  0 12  1 11  0 11]
 [ 0  0  0  3  0 12  3]
 [ 4  0  1 26  7  5 30]]",7,,,,,,,,baseline,RandomForestClassifier_baseline_attributes_NoNoise,0.4947402715875622,0.4931972789115646,0.4922962186805225,0.4931972789115646,"[[42  1 12  0  5  2  4]
 [ 2  0  0  0  0  0  0]
 [12  0 20  0  6  0  2]
 [ 0  0  0 30  0  5 25]
 [ 0  0 12  1 11  0 11]
 [ 0  0  0  3  0 12  3]
 [ 4  0  1 26  7  5 30]]",7,,,,,,,,0.0,0.0
baseline,NA,0.1,attributes,RandomForestClassifier_baseline_attributes_NoNoise,RandomForestClassifier,2,0.11424434377593284,0.11235955056179775,0.11261396959317115,0.11235955056179775,"[[10 33  0  5  4 10]
 [22  6  0 17  1  6]
 [ 0  0 18  2 24 87]
 [ 6 16  8  3  0 27]
 [ 8  0 23  0  7 30]
 [ 5  3 97 24 16 16]]",6,,,,,,,,baseline,RandomForestClassifier_baseline_attributes_NoNoise,0.11424434377593284,0.11235955056179775,0.11261396959317115,0.11235955056179775,"[[10 33  0  5  4 10]
 [22  6  0 17  1  6]
 [ 0  0 18  2 24 87]
 [ 6 16  8  3  0 27]
 [ 8  0 23  0  7 30]
 [ 5  3 97 24 16 16]]",6,,,,,,,,0.0,0.0
baseline,NA,0.1,attributes,KNeighborsClassifier_baseline_attributes_NoNoise,KNeighborsClassifier,0,0.9867596668002874,0.9867232658959537,0.9867294942741831,0.9867232658959537,"[[1557    0   12    0    0    2    1]
 [   0 1698    0    0    0    0    0]
 [  14    1 1592    0    1    0    0]
 [   0    0    0 1480    0    5   24]
 [   0    0   13    1 1588    0    3]
 [   5    0    0   10    0 1590    9]
 [   1    0    2   35    6    2 1420]]",7,,,,,,,,baseline,KNeighborsClassifier_baseline_attributes_NoNoise,0.9867596668002874,0.9867232658959537,0.9867294942741831,0.9867232658959537,"[[1557    0   12    0    0    2    1]
 [   0 1698    0    0    0    0    0]
 [  14    1 1592    0    1    0    0]
 [   0    0    0 1480    0    5   24]
 [   0    0   13    1 1588    0    3]
 [   5    0    0   10    0 1590    9]
 [   1    0    2   35    6    2 1420]]",7,,,,,,,,0.0,0.0
baseline,NA,0.1,attributes,KNeighborsClassifier_baseline_attributes_NoNoise,KNeighborsClassifier,1,0.5907585949192055,0.5748299319727891,0.5794006097285186,0.5748299319727891,"[[44  0 15  0  0  2  5]
 [ 0  2  0  0  0  0  0]
 [11  1 24  0  2  0  2]
 [ 0  0  0 32  1  5 22]
 [ 0  0  8  2 21  0  4]
 [ 0  0  0  3  0 10  5]
 [ 1  0  2 22  5  7 36]]",7,,,,,,,,baseline,KNeighborsClassifier_baseline_attributes_NoNoise,0.5907585949192055,0.5748299319727891,0.5794006097285186,0.5748299319727891,"[[44  0 15  0  0  2  5]
 [ 0  2  0  0  0  0  0]
 [11  1 24  0  2  0  2]
 [ 0  0  0 32  1  5 22]
 [ 0  0  8  2 21  0  4]
 [ 0  0  0  3  0 10  5]
 [ 1  0  2 22  5  7 36]]",7,,,,,,,,0.0,0.0
baseline,NA,0.1,attributes,KNeighborsClassifier_baseline_attributes_NoNoise,KNeighborsClassifier,2,0.1360485082508766,0.13670411985018727,0.13541274893091154,0.13670411985018727,"[[14 29  1  2  2 14]
 [21  9  0 13  1  8]
 [ 0  0 18  3 28 82]
 [ 5 14  8  5  0 28]
 [ 9  0 23  0  3 33]
 [ 4  4 93 21 15 24]]",6,,,,,,,,baseline,KNeighborsClassifier_baseline_attributes_NoNoise,0.1360485082508766,0.13670411985018727,0.13541274893091154,0.13670411985018727,"[[14 29  1  2  2 14]
 [21  9  0 13  1  8]
 [ 0  0 18  3 28 82]
 [ 5 14  8  5  0 28]
 [ 9  0 23  0  3 33]
 [ 4  4 93 21 15 24]]",6,,,,,,,,0.0,0.0
baseline,NA,0.1,attributes,GradientBoostingClassifier_baseline_attributes_NoNoise,GradientBoostingClassifier,0,0.9933275236979927,0.9933164739884393,0.9933182890301642,0.9933164739884393,"[[1564    0    6    0    0    2    0]
 [   0 1696    0    0    2    0    0]
 [   9    0 1599    0    0    0    0]
 [   0    0    0 1495    1    1   12]
 [   1    0    1    1 1601    0    1]
 [   1    0    0    8    0 1599    6]
 [   2    0    0   14    5    1 1444]]",7,,,,,,,,baseline,GradientBoostingClassifier_baseline_attributes_NoNoise,0.9933275236979927,0.9933164739884393,0.9933182890301642,0.9933164739884393,"[[1564    0    6    0    0    2    0]
 [   0 1696    0    0    2    0    0]
 [   9    0 1599    0    0    0    0]
 [   0    0    0 1495    1    1   12]
 [   1    0    1    1 1601    0    1]
 [   1    0    0    8    0 1599    6]
 [   2    0    0   14    5    1 1444]]",7,,,,,,,,0.0,0.0
baseline,NA,0.1,attributes,GradientBoostingClassifier_baseline_attributes_NoNoise,GradientBoostingClassifier,1,0.48169405121999936,0.46258503401360546,0.4661964110302013,0.46258503401360546,"[[27  1 27  0  3  3  5]
 [ 1  0  1  0  0  0  0]
 [15  0 19  0  5  0  1]
 [ 0  0  0 28  0  7 25]
 [ 0  0  9  1 19  0  6]
 [ 1  0  0  2  0  8  7]
 [ 3  0  2 24  4  5 35]]",7,,,,,,,,baseline,GradientBoostingClassifier_baseline_attributes_NoNoise,0.48169405121999936,0.46258503401360546,0.4661964110302013,0.46258503401360546,"[[27  1 27  0  3  3  5]
 [ 1  0  1  0  0  0  0]
 [15  0 19  0  5  0  1]
 [ 0  0  0 28  0  7 25]
 [ 0  0  9  1 19  0  6]
 [ 1  0  0  2  0  8  7]
 [ 3  0  2 24  4  5 35]]",7,,,,,,,,0.0,0.0
baseline,NA,0.1,attributes,GradientBoostingClassifier_baseline_attributes_NoNoise,GradientBoostingClassifier,2,0.07240353860836964,0.07303370786516854,0.07230300080456538,0.07303370786516854,"[[  6  35   0   5   5  11]
 [ 23   6   0  16   2   5]
 [  1   0  15   5  27  83]
 [  6  15   9   2   0  28]
 [  8   1  23   1   5  30]
 [  7   3 105  23  18   5]]",6,,,,,,,,baseline,GradientBoostingClassifier_baseline_attributes_NoNoise,0.07240353860836964,0.07303370786516854,0.07230300080456538,0.07303370786516854,"[[  6  35   0   5   5  11]
 [ 23   6   0  16   2   5]
 [  1   0  15   5  27  83]
 [  6  15   9   2   0  28]
 [  8   1  23   1   5  30]
 [  7   3 105  23  18   5]]",6,,,,,,,,0.0,0.0
baseline,NA,0.1,attributes,SVC_baseline_attributes_NoNoise,SVC,0,0.9991883734282433,0.9991871387283237,0.9991871303050157,0.9991871387283237,"[[1570    0    2    0    0    0    0]
 [   0 1698    0    0    0    0    0]
 [   1    0 1607    0    0    0    0]
 [   0    0    0 1509    0    0    0]
 [   0    0    0    0 1605    0    0]
 [   0    0    0    2    0 1612    0]
 [   0    0    0    2    2    0 1462]]",7,,,,,,,,baseline,SVC_baseline_attributes_NoNoise,0.9991883734282433,0.9991871387283237,0.9991871303050157,0.9991871387283237,"[[1570    0    2    0    0    0    0]
 [   0 1698    0    0    0    0    0]
 [   1    0 1607    0    0    0    0]
 [   0    0    0 1509    0    0    0]
 [   0    0    0    0 1605    0    0]
 [   0    0    0    2    0 1612    0]
 [   0    0    0    2    2    0 1462]]",7,,,,,,,,0.0,0.0
